PUNO,PUCODE,PUNAME,PUPARENT,PUREFCODE,DEPTNO,COSTCENTERNO,PUTYPENO,PUSTATUSNO,PUCRITICALNO,PULOCTYPENO,PULOCATION,NOTE,FLAGDEL,HIERARCHYNO,CHILDMAX,CURR_LEVEL,BudgetCalc_Flag,TEXT1,TEXT2,TEXT3,NUMBER1,NUMBER2,DATE1,DATE2,LOGIC1,LOGIC2,UPDATEUSER,UPDATEDATE,PU_DTCost
6446,PS-UFPT,Fire protection system at Positive Treat Plant,5962,,25,13,230,1,6,4,,,F,00000710000014,5,2,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20230523,0
6447,PS-UFPT-EECN-01,Fire Alarm System Positive Treat,6446,,26,13,40,NULL,6,4,,,F,000007100000140000001,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20230523,0
6448,PS-UFPT-EXGH-01,Extinguisher at Positive Treat Plant,6446,,25,13,279,1,7,4,,,F,000007100000140000002,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20230523,0
6449,PS-UFPT-FHCS-01,Fire hose reel positive treat plant,6446,,25,13,50,1,7,4,,,F,000007100000140000003,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20230523,0
6450,PS-UFPT-SPKL-01,Sprinkler at Positive Treat plant,6446,,25,13,230,1,6,4,,,F,000007100000140000004,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20230523,0
6451,DJ-LNA-DCC-BKD,LNA Bucket elevator dryer JR,5560,,5,17,12,1,6,17,,,F,0000013000000500000160000021,0,4,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20250312,0
6452,DJ-LNA-DCC,JAROEN LNA DCC: DRYER COATER COOLER,2335,,23,17,38,1,4,72,,,F,000000800000800000001,2,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20250312,0
6453,DJ-LNA-DCC-BKC,LNA Bucket elevator Cooler JR,5565,,5,17,12,1,6,17,,,F,0000013000000500000200000008,0,4,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20250312,0
6454,DJ-IMS-OFD-SCR-01,Jaroen Out feed screw fine,4763,,5,17,123,1,7,63,,,F,000001300000070000032,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,42,20230605,0
6455,DP-UVEN-EXHF-34,Exhaust Fan for battery charging room (EF-10),770,,72,11,219,NULL,6,31,,,F,000000500000230000054,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20241008,0
6456,DP-PACK-BAND-06,Bigbag line 1 Hot sealing Newlong,6710,,29,3,6,1,5,9,,,F,0000005000001000002160000011,0,4,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20250612,0
6457,DP-HCRM,Hot cream process,146,,23,3,230,1,5,18,,,F,00000050000054,24,2,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20230705,0
6458,DP-HCRM-PUMS-01,Hot cream process IKA mixer,1414,,23,3,115,1,5,18,,,F,000000500000540000001,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20230705,0
6459,DP-HCRM-LIWF-01,Hot cream process loss in weight,1414,,23,3,115,1,5,18,,,F,00000080000657,0,2,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20240308,0
6460,DP-HCRM-PUMS-02,Discharge pump heating skid,1414,,23,3,115,1,5,18,,,F,000000500000540000003,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6461,DP-HCRM-PUMS-03,Coilloid mill pump heating skid,1414,,23,3,115,1,5,18,,,F,000000500000540000004,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6462,DP-HCRM-TANK-01,Terlotherm tank heating skid,1414,,23,3,141,1,5,18,,,F,000000500000540000005,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6463,DP-HCRM-TANK-02,Hot cream process tank heating skid,1414,,23,3,141,1,5,18,,,F,000000500000540000006,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6464,DP-HCRM-PUMP-04,Hot cream process agitator tank red heating skid,1414,,33,3,115,1,5,18,,,F,00000080000651,0,2,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20230705,0
6465,DP-HCRM-PUMS-04,Hot cream process agitator tank heating skid,1414,,23,3,115,1,5,18,,,F,000000500000540000008,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6466,DP-HCRM-TANK-03,Hot cream process holding tube 1,1414,,23,3,141,1,5,18,,,F,000000500000540000009,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20230705,0
6467,DP-HCRM-TANK-04,Hot cream process holding tube 2,1414,,23,3,141,1,5,18,,,F,000000500000540000010,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20230705,0
6468,DP-HCRM-TANK-05,Hot cream process holding tube 3,1414,,23,3,141,1,5,18,,,F,000000500000540000011,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20230705,0
6469,DP-HCRM-TANK-06,Hot cream process tank cooling skid,1414,,23,3,141,1,5,18,,,F,000000500000540000012,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6470,DP-HCRM-TANK-07,Terlotherm tank cooling skid,1414,,23,3,141,1,5,18,,,F,000000500000540000013,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6471,DP-HCRM-PUMS-05,Hot cream process agitator tank cooling skid,1414,,23,3,115,1,5,18,,,F,000000500000540000014,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6472,DP-HCRM-PUMS-06,Discharge pump cooling skid,1414,,23,3,115,1,5,18,,,F,000000500000540000015,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6473,DP-HCRM-PUMS-07,Coilloid mill pump cooling skid,1414,,23,3,115,1,5,18,,,F,000000500000540000016,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,549,20240221,0
6474,DJ-ICS,Dry2 Industrial Control System,4456,,26,23,230,1,5,2,,,F,00000130000049,2,2,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20230711,0
6475,DJ-ICS-L3,Dry2 Industrial Control System Level3,6474,,26,23,304,1,5,2,,,F,000001300000490000001,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20230711,0
6476,DJ-ICS-L2,Dry2 Industrial Control System Level2,6474,,26,23,304,1,5,2,,,F,000001300000490000002,0,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20230711,0
6477,DP-PACK-ROLL-07,Packing Robot roller conveyor 1,6480,,29,3,120,1,6,19,,,F,0000005000001000002150000003,0,4,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,42,20250426,0
6478,DP-PACK-BELT-59,Packing Robot Centering belt conveyor,6480,,29,3,8,1,6,19,,,F,0000005000001000002150000007,0,4,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,42,20250426,0
6479,DP-PACK-ROLL-08,Packing Robot Pick-up conveyor,6480,,29,3,8,1,6,19,,,F,0000005000001000002150000004,0,4,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,42,20250424,0
6480,DP-PACK-ROBO-01,Packing Paletizer Robot L1,538,,29,3,306,1,6,9,DRY 1,START UP 2023,F,000000500000100000215,10,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,451,20241008,0
6481,DP-PACK-ROLL-09,Packing Robot Pallet dispenser,6480,,29,3,8,1,6,19,,,F,0000005000001000002150000005,0,4,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,42,20250424,0
6482,DJ-MNR-IFD-HPR-37,LNA Cyclone minor infeed hopper 37,4759,,23,17,61,1,6,67,,,F,000001300000030000044,2,3,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20230822,0
6483,DJ-MNR-IFD-RVL-02,LNA Cyclone minor infeed rotary valve2 (M221),6482,,23,17,274,1,5,67,,,F,0000013000000300000440000001,0,4,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,436,20230822,0
